%time(s),x1,x2,x3,x4,x5,u1,u2,y1,y2,y3,y4
1.1400005e-01,7.2357002e+01,3.8739142e+02,1.8963232e+01,2.4811822e-01,1.3798006e-02,1.2000000e+01,0.0000000e+00,1.5495657e+02,7.7536941e+00,1.0000000e+01,6.0962510e-01
1.1500005e-01,7.2215012e+01,3.9120792e+02,1.9350624e+01,2.5032872e-01,1.4046124e-02,1.2000000e+01,0.0000000e+00,1.5648317e+02,7.8227720e+00,1.0000000e+01,6.0962510e-01
1.1600006e-01,7.2072395e+01,3.9501611e+02,1.9741833e+01,2.5253922e-01,1.4296453e-02,1.2000000e+01,0.0000000e+00,1.5800645e+02,7.8918500e+00,1.0000000e+01,6.0962510e-01
1.1700006e-01,7.1929199e+01,3.9881595e+02,2.0136848e+01,2.5474972e-01,1.4548992e-02,1.2000000e+01,0.0000000e+00,1.5952638e+02,7.9609284e+00,1.0000000e+01,6.0962510e-01
1.1800006e-01,7.1785461e+01,4.0260742e+02,2.0535664e+01,2.5696021e-01,1.4803741e-02,1.2000000e+01,0.0000000e+00,1.6104297e+02,8.0300064e+00,1.0000000e+01,6.0962510e-01
1.1900006e-01,7.1641220e+01,4.0639050e+02,2.0938271e+01,2.5917071e-01,1.5060701e-02,1.2000000e+01,0.0000000e+00,1.6255620e+02,8.0990839e+00,1.0000000e+01,6.0962510e-01
1.2000006e-01,7.1496521e+01,4.1016516e+02,2.1344662e+01,2.6138121e-01,1.5319872e-02,1.2000000e+01,0.0000000e+00,1.6406607e+02,8.1681623e+00,1.0000000e+01,6.0962510e-01
1.2100007e-01,7.1351402e+01,4.1393137e+02,2.1754827e+01,2.6359171e-01,1.5581253e-02,1.2000000e+01,0.0000000e+00,1.6557256e+02,8.2372408e+00,1.0000000e+01,6.0962510e-01
1.2200007e-01,7.1205894e+01,4.1768909e+02,2.2168758e+01,2.6580220e-01,1.5844844e-02,1.2000000e+01,0.0000000e+00,1.6707564e+02,8.3063183e+00,1.0000000e+01,6.0962510e-01
1.2300007e-01,7.1060036e+01,4.2143829e+02,2.2586447e+01,2.6801270e-01,1.6110646e-02,1.2000000e+01,0.0000000e+00,1.6857532e+02,8.3753967e+00,1.0000000e+01,6.0962510e-01
1.2400007e-01,7.0913864e+01,4.2517899e+02,2.3007885e+01,2.7022320e-01,1.6378658e-02,1.2000000e+01,0.0000000e+00,1.7007159e+02,8.4444742e+00,1.0000000e+01,6.0962510e-01
1.2500007e-01,7.0767403e+01,4.2891113e+02,2.3433064e+01,2.7243370e-01,1.6648881e-02,1.2000000e+01,0.0000000e+00,1.7156445e+02,8.5135527e+00,1.0000000e+01,6.0962510e-01
1.2600008e-01,7.0620682e+01,4.3263474e+02,2.3861975e+01,2.7464420e-01,1.6921315e-02,1.2000000e+01,0.0000000e+00,1.7305389e+02,8.5826311e+00,1.0000000e+01,6.0962510e-01
